,Age,FormalEducation,Gender,Salary
82,Under 18 years old,Primary/elementary school,Male,0.0
83,Under 18 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Male,0.0
84,Under 18 years old,Some college/university study without earning a degree,Male,0.0
85,All,All,Female,82000.0
86,All,All,Male,97000.0
87,18 - 24 years old,All,All,65000.0
88,25 - 34 years old,All,All,91000.0
89,35 - 44 years old,All,All,115000.0
90,45 - 54 years old,All,All,120000.0
91,55 - 64 years old,All,All,120000.0
92,65 years or older,All,All,100000.0
93,Under 18 years old,All,All,0.0
94,All,Associate degree,All,71000.0
95,All,"Bachelor’s degree (BA, BS, B.Eng., etc.)",All,95000.0
96,All,I never completed any formal education,All,80000.0
97,All,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",All,110000.0
98,All,"Other doctoral degree (Ph.D, Ed.D., etc.)",All,120000.0
99,All,Primary/elementary school,All,5.25
100,All,"Professional degree (JD, MD, etc.)",All,93750.0
101,All,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",All,50000.0
102,All,Some college/university study without earning a degree,All,85000.0
